"nbagameid","gamedate","season","gametype","nbapersonid","player_name","nbateamid","team","team_name","opposingnbateamid","opp_team","opp_team_name","starter","missed","seconds","points","fg2made","fg2missed","fg2attempted","fg3made","fg3missed","fg3attempted","fgmade","fgmissed","fgattempted","ftmade","ftmissed","ftattempted","reboffensive","rebdefensive","offensivereboundchances","defensivereboundchances","assists","steals","stealsagainst","turnovers","blocks","blocksagainst","defensivefouls","defensivefoulsdrawn","offensivefouls","offensivefoulsdrawn","shootingfouls","shootingfoulsdrawn","shotattempts","shotattemptpoints","offensiveseconds","offensivepossessions","defensiveseconds","defensivepossessions","andones","teampoints","opponentteampoints","teamshotattempts","teamfgmade","teamfgattempted","teamturnovers","opponentteamfg2attempted","opponentteamfg3attempted"
"22200475","2022-12-21T00:00:00.000Z","2022","2","1627745","Damian Jones","1610612747","LAL","Los Angeles Lakers","1610612758","SAC","Sacramento Kings","0","0","371","2","1","0","1","0","0","0","1","0","1","0","0","0","1","2","4","6","0","0","0","0","0","0","0","0","0","0","0","0","1","2","189.5","14","181.5","13","0","19","15","13","6","11","2","8","7"
"22200475","2022-12-21T00:00:00.000Z","2022","2","1628418","Thomas Bryant","1610612747","LAL","Los Angeles Lakers","1610612758","SAC","Sacramento Kings","1","0","1870.1","17","4","3","7","2","0","2","6","3","9","3","1","4","2","8","26","27","4","1","0","2","0","0","4","2","1","0","4","2","11","17","954.8","67","915.3","70","0","74","86","60","26","54","9","25","32"
"21700697","2018-01-23T00:00:00.000Z","2017","2","203092","Tyler Zeller","1610612751","BKN","Brooklyn Nets","1610612760","OKC","Oklahoma City Thunder","1","0","895","4","2","1","3","0","0","0","2","1","3","0","0","0","1","2","15","18","1","0","0","0","2","0","4","0","0","0","3","0","3","4","500","29","395","29","0","29","33","28","11","27","4","28","4"
"21700827","2018-02-10T00:00:00.000Z","2017","2","1628503","Jamel Artis","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21700827","2018-02-10T00:00:00.000Z","2017","2","203932","Aaron Gordon","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21700827","2018-02-10T00:00:00.000Z","2017","2","1628371","Jonathan Isaac","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21700827","2018-02-10T00:00:00.000Z","2017","2","201167","Arron Afflalo","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","0","0","1196","5","1","1","2","1","2","3","2","3","5","0","0","0","0","6","17","24","1","0","0","0","0","0","1","0","0","0","1","0","5","5","582.1","41","613.9","41","0","46","40","38","16","33","6","26","10"
"21700827","2018-02-10T00:00:00.000Z","2017","2","201578","Marreese Speights","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","0","0","695.8","3","0","1","1","1","2","3","1","3","4","0","0","0","1","1","11","16","0","0","2","2","0","0","2","0","0","0","2","0","4","3","351.9","24.5","343.9","22","0","24","24","23","8","20","4","12","9"
"21700827","2018-02-10T00:00:00.000Z","2017","2","202714","Shelvin Mack","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","0","0","1661","19","6","0","6","2","2","4","8","2","10","1","1","2","0","4","21","27","10","2","2","4","1","0","2","2","0","0","1","1","11","19","836.5","56","824.5","55","0","67","68","54","25","47","7","32","16"
"21700827","2018-02-10T00:00:00.000Z","2017","2","1626209","Mario Hezonja","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","1","0","2111","23","7","4","11","1","4","5","8","8","16","6","1","7","0","3","28","21","0","3","1","2","0","0","2","3","1","0","1","3","19","22","1150.6","70.5","960.4","68","0","82","89","68","30","60","9","43","16"
"21700827","2018-02-10T00:00:00.000Z","2017","2","202696","Nikola Vucevic","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21700827","2018-02-10T00:00:00.000Z","2017","2","203095","Evan Fournier","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","1","0","1761","20","6","4","10","2","3","5","8","7","15","2","0","2","1","1","27","16","1","0","2","3","1","1","1","2","0","0","0","1","16","20","929.6","57","831.4","56","0","65","71","60","24","55","5","36","13"
"21700827","2018-02-10T00:00:00.000Z","2017","2","202687","Bismack Biyombo","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","1","0","1196","4","1","4","5","0","0","0","1","4","5","2","0","2","2","5","21","12","2","0","0","0","1","1","0","1","0","0","0","1","6","4","671","39.5","525","38","0","37","43","39","12","35","5","25","9"
"21700827","2018-02-10T00:00:00.000Z","2017","2","201571","D.J. Augustin","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","1","0","1399.8","11","2","1","3","0","4","4","2","5","7","7","0","7","1","3","23","15","5","0","0","1","0","0","0","4","0","1","0","2","9","9","765.5","47","634.3","46","0","47","54","47","16","42","5","29","12"
"21700827","2018-02-10T00:00:00.000Z","2017","2","203613","Jonathon Simmons","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","1","0","1554.7","9","3","5","8","1","5","6","4","10","14","0","0","0","1","1","27","15","3","1","0","0","0","1","3","0","0","0","2","0","14","9","883.1","50.5","671.6","50","0","50","63","52","18","48","5","29","12"
"21700827","2018-02-10T00:00:00.000Z","2017","2","203920","Khem Birch","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","0","0","1471.2","6","2","3","5","0","0","0","2","3","5","2","2","4","4","5","24","22","1","1","0","0","0","1","0","2","0","0","0","2","7","6","780.6","48.5","690.6","49","0","50","55","49","18","42","6","27","13"
"21700827","2018-02-10T00:00:00.000Z","2017","2","1628411","Wesley Iwundu","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","0","0","1338.5","4","1","1","2","0","0","0","1","1","2","2","0","2","0","2","16","27","0","0","0","0","0","0","2","1","0","0","1","1","3","4","646.6","45.5","691.9","44","0","52","48","40","18","33","8","26","15"
"21700827","2018-02-10T00:00:00.000Z","2017","2","203082","Terrence Ross","1610612753","ORL","Orlando Magic","1610612749","MIL","Milwaukee Bucks","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21700827","2018-02-10T00:00:00.000Z","2017","2","204098","Xavier Munford","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21700827","2018-02-10T00:00:00.000Z","2017","2","1891","Jason Terry","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","0","0","875.8","11","1","1","2","3","2","5","4","3","7","0","0","0","0","1","19","14","0","0","0","0","0","0","1","0","0","0","1","0","7","11","404.7","27.5","471.1","30","0","29","25","31","9","26","2","15","9"
"21700827","2018-02-10T00:00:00.000Z","2017","2","1628391","D.J. Wilson","1610612749","MIL","Milwaukee Bucks","1610612753","ORL","Orlando Magic","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
